osmid,y,x,highway,street_count,geometry
7022908333,14.5933801,120.993011,,1,POINT (120.993011 14.5933801)
7022908336,14.5965216,120.9906862,,3,POINT (120.9906862 14.5965216)
7022908339,14.5985754,120.9910677,,3,POINT (120.9910677 14.5985754)
7022908343,14.5986956,120.9909247,,3,POINT (120.9909247 14.5986956)
7022908348,14.600037,120.9912729,,3,POINT (120.9912729 14.600037)
7022908356,14.5974479,120.9907186,,3,POINT (120.9907186 14.5974479)
7022908358,14.5972596,120.9904341,,3,POINT (120.9904341 14.5972596)
7057458561,14.5982086,120.981858,,1,POINT (120.981858 14.5982086)
7057458562,14.5982761,120.9818812,,1,POINT (120.9818812 14.5982761)
7057458563,14.5983894,120.9808338,,1,POINT (120.9808338 14.5983894)
7057458564,14.5984763,120.9808465,,1,POINT (120.9808465 14.5984763)
7082569064,14.5678699,120.9896685,crossing,4,POINT (120.9896685 14.5678699)
7082569065,14.5677104,120.9894134,crossing,4,POINT (120.9894134 14.5677104)
7082569066,14.5676199,120.9895418,,1,POINT (120.9895418 14.5676199)
7082569067,14.5677413,120.9893687,,1,POINT (120.9893687 14.5677413)
7082569068,14.5679187,120.9895824,crossing,4,POINT (120.9895824 14.5679187)
7082569069,14.5676528,120.9894956,crossing,4,POINT (120.9894956 14.5676528)
7082569070,14.5678541,120.9896958,,1,POINT (120.9896958 14.5678541)
7082569071,14.5679446,120.989536,,1,POINT (120.989536 14.5679446)
7083345792,14.63443,120.9660081,,3,POINT (120.9660081 14.63443)
7095081451,14.5690894,120.984305,,3,POINT (120.984305 14.5690894)
7099369644,14.5777601,121.0121144,,1,POINT (121.0121144 14.5777601)
7099369645,14.5772088,121.0117809,,3,POINT (121.0117809 14.5772088)
7111252871,14.5825569,120.9743205,,3,POINT (120.9743205 14.5825569)
7111252872,14.5823582,120.9744407,crossing,4,POINT (120.9744407 14.5823582)
7111252874,14.5821917,120.9745398,,3,POINT (120.9745398 14.5821917)
7119881992,14.6072699,120.9895494,,3,POINT (120.9895494 14.6072699)
7119881997,14.6075281,120.9893095,,3,POINT (120.9893095 14.6075281)
7164625717,14.5670029,121.0041528,,3,POINT (121.0041528 14.5670029)
7180482609,14.5904077,120.9836628,,3,POINT (120.9836628 14.5904077)
7180482613,14.5707625,120.9914818,,1,POINT (120.9914818 14.5707625)
7180482638,14.5934784,120.9812924,,4,POINT (120.9812924 14.5934784)
7180482639,14.59315,120.9802878,,3,POINT (120.9802878 14.59315)
7183529258,14.5716003,120.9875374,,1,POINT (120.9875374 14.5716003)
7183529259,14.5710806,120.9878415,,3,POINT (120.9878415 14.5710806)
7189008457,14.5907656,120.9595844,,3,POINT (120.9595844 14.5907656)
7189008459,14.5905468,120.9595843,,3,POINT (120.9595843 14.5905468)
7189008460,14.5904487,120.9589425,,3,POINT (120.9589425 14.5904487)
7189008462,14.5891723,120.9565177,,3,POINT (120.9565177 14.5891723)
7189008466,14.5887841,120.955847,,3,POINT (120.955847 14.5887841)
7189008471,14.5892276,120.9559951,,3,POINT (120.9559951 14.5892276)
7189008474,14.5883955,120.9576475,,3,POINT (120.9576475 14.5883955)
7189008476,14.5886958,120.9579089,,3,POINT (120.9579089 14.5886958)
7189008479,14.5883649,120.9573001,,3,POINT (120.9573001 14.5883649)
7189008481,14.5879482,120.957457,,3,POINT (120.957457 14.5879482)
7189008483,14.5882961,120.9573215,,3,POINT (120.9573215 14.5882961)
7189008484,14.5878606,120.956533,,3,POINT (120.956533 14.5878606)
7189020891,14.5885764,120.9572276,,3,POINT (120.9572276 14.5885764)
7189020895,14.5889164,120.9574416,,3,POINT (120.9574416 14.5889164)
7189020902,14.5888146,120.9577594,,3,POINT (120.9577594 14.5888146)
7189020908,14.5893476,120.9578054,,3,POINT (120.9578054 14.5893476)
7189020918,14.5894822,120.9582759,,1,POINT (120.9582759 14.5894822)
7189020919,14.5896177,120.958055,,1,POINT (120.958055 14.5896177)
7189020923,14.5895263,120.958752,,3,POINT (120.958752 14.5895263)
7189024792,14.5893838,120.959553,,4,POINT (120.959553 14.5893838)
7189024795,14.5892025,120.9596414,,3,POINT (120.9596414 14.5892025)
7189024804,14.5896191,120.9594793,,3,POINT (120.9594793 14.5896191)
7189024805,14.5894083,120.9601301,,3,POINT (120.9601301 14.5894083)
7189024812,14.5893486,120.958509,,3,POINT (120.958509 14.5893486)
7189024817,14.5888917,120.9587266,,3,POINT (120.9587266 14.5888917)
7189024826,14.5894801,120.9572328,,3,POINT (120.9572328 14.5894801)
7189024827,14.5899395,120.9574553,,3,POINT (120.9574553 14.5899395)
7189024832,14.5904648,120.9573877,,3,POINT (120.9573877 14.5904648)
7189024838,14.5903688,120.9569884,,3,POINT (120.9569884 14.5903688)
7189024842,14.5901806,120.9568253,,4,POINT (120.9568253 14.5901806)
7189024843,14.5904538,120.9568072,,3,POINT (120.9568072 14.5904538)
