osmid,y,x,street_count,highway,ref,geometry
7679647810,15.1918537,120.5353296,1,,,POINT (120.5353296 15.1918537)
7679647813,15.1912299,120.5364025,1,,,POINT (120.5364025 15.1912299)
7679647814,15.1923863,120.5377469,1,,,POINT (120.5377469 15.1923863)
7679647825,15.1933382,120.5366519,1,,,POINT (120.5366519 15.1933382)
7679647829,15.1938002,120.5356997,1,,,POINT (120.5356997 15.1938002)
7679700170,15.1865434,120.5333005,3,,,POINT (120.5333005 15.1865434)
7679732930,15.1114468,120.5924217,1,,,POINT (120.5924217 15.1114468)
7679807278,15.1629877,120.6356254,3,,,POINT (120.6356254 15.1629877)
7686102452,15.1713994,120.635775,3,,,POINT (120.635775 15.1713994)
7686102453,15.171585,120.6356737,1,,,POINT (120.6356737 15.171585)
7686116292,15.1764452,120.6377913,1,,,POINT (120.6377913 15.1764452)
7686116296,15.1763457,120.6374756,3,,,POINT (120.6374756 15.1763457)
7686138370,15.128165,120.6057483,1,,,POINT (120.6057483 15.128165)
7686138371,15.127763,120.6054523,3,,,POINT (120.6054523 15.127763)
7686147542,15.1306805,120.5993794,1,,,POINT (120.5993794 15.1306805)
7686147543,15.1304142,120.5991817,3,,,POINT (120.5991817 15.1304142)
7686151654,15.1296966,120.5989959,1,,,POINT (120.5989959 15.1296966)
7686151657,15.1304608,120.5991001,3,,,POINT (120.5991001 15.1304608)
7686156136,15.1525648,120.5772096,1,,,POINT (120.5772096 15.1525648)
7686174818,15.1679115,120.485014,3,,,POINT (120.485014 15.1679115)
7686174821,15.1683076,120.4808915,1,,,POINT (120.4808915 15.1683076)
7686174828,15.1689108,120.4804274,3,,,POINT (120.4804274 15.1689108)
7686174841,15.1727422,120.4803443,3,,,POINT (120.4803443 15.1727422)
7686174982,15.1843962,120.5403104,1,,,POINT (120.5403104 15.1843962)
7686189320,15.1391095,120.5520519,3,,,POINT (120.5520519 15.1391095)
7686270511,15.2038613,120.5491644,1,,,POINT (120.5491644 15.2038613)
