u,v,key,osmid,oneway,name,highway,access,length,maxspeed,width,geometry,lanes,junction,bridge,ref,tunnel,service
254707226,254752033,0,23521662,False,,residential,,26.633,,6,"LINESTRING (123.2367148 13.6451607, 123.2367662 13.6452269, 123.2367896 13.6452344, 123.2368209 13.6452358, 123.2368376 13.645237, 123.2368545 13.645235, 123.236869 13.6452244, 123.2368839 13.645213, 123.2369048 13.6451866)",,,,,,
254707237,254707162,0,23521605,False,,residential,,64.183,,6,"LINESTRING (123.2405428 13.6438699, 123.2405059 13.644446)",,,,,,
254707237,2445411412,0,23521736,False,,residential,,34.441,,6,"LINESTRING (123.2405428 13.6438699, 123.2408194 13.6440238)",,,,,,
254707237,254707898,0,23521736,False,,residential,,27.372,,6,"LINESTRING (123.2405428 13.6438699, 123.2403201 13.6437526)",,,,,,
254707242,2396217476,0,23520760,False,,residential,,28.866,,6,"LINESTRING (123.2402221 13.6449297, 123.240243 13.6446709)",,,,,,
254707242,2396217549,0,23520760,False,,residential,,192.63299999999998,,6,"LINESTRING (123.2402221 13.6449297, 123.2402143 13.6450891, 123.2402163 13.6451471, 123.2409605 13.6451917, 123.2417707 13.6451245)",,,,,,
254707242,2396217492,0,23521620,False,,residential,,150.922,,6,"LINESTRING (123.2402221 13.6449297, 123.2408334 13.6449509, 123.2413313 13.6449415, 123.2414742 13.6449008, 123.2414918 13.6447677)",,,,,,
254707269,2445411465,0,23521705,False,,residential,,169.081,,6,"LINESTRING (123.2397483 13.6453934, 123.2384774 13.6453123, 123.2381866 13.6452994)",,,,,,
254707269,2396217545,0,231215162,True,,residential,,30.125,,,"LINESTRING (123.2397483 13.6453934, 123.2397586 13.6453037, 123.2398182 13.6452344, 123.2399073 13.6452086)",,roundabout,,,,
254707286,254752031,0,23520731,False,,residential,,268.094,,6,"LINESTRING (123.2384075 13.6436781, 123.2383418 13.6436097, 123.238311 13.6435354, 123.2382882 13.6434813, 123.2382922 13.6434403, 123.2383096 13.643349, 123.2384008 13.6432956, 123.2393195 13.6433296, 123.2394893 13.643296, 123.2397322 13.6432301, 123.2398425 13.6431887, 123.2399257 13.6432005, 123.2399981 13.6432448, 123.2400383 13.6433399, 123.2400531 13.6434637, 123.2400289 13.6435888)",,,,,,
254707286,254707292,0,23521736,False,,residential,,144.163,,6,"LINESTRING (123.2384075 13.6436781, 123.2385061 13.6436034, 123.2386964 13.6435733, 123.2397127 13.64357)",,,,,,
254707286,254707883,0,23521736,False,,residential,,104.34,,6,"LINESTRING (123.2384075 13.6436781, 123.2382959 13.6437926, 123.2382449 13.6439037, 123.2382112 13.6439923, 123.2381929 13.6441672, 123.238187 13.6445559)",,,,,,
254707292,254707160,0,23520773,False,,residential,,29.377,,6,"LINESTRING (123.2397127 13.64357, 123.239688 13.6438331)",,,,,,
254707292,254752031,0,23521736,False,,residential,,34.232,,6,"LINESTRING (123.2397127 13.64357, 123.2400289 13.6435888)",,,,,,
254707292,254707286,0,23521736,False,,residential,,144.16299999999998,,6,"LINESTRING (123.2397127 13.64357, 123.2386964 13.6435733, 123.2385061 13.6436034, 123.2384075 13.6436781)",,,,,,
254707296,254707300,0,23521736,False,,residential,,27.348,,6,"LINESTRING (123.2381779 13.6450319, 123.2381866 13.6447861)",,,,,,
254707296,2445411465,0,23521736,False,,residential,,29.76,,6,"LINESTRING (123.2381779 13.6450319, 123.2381866 13.6452994)",,,,,,
254707296,254707857,0,"[23520850, 23520773]",False,,residential,,180.249,,6,"LINESTRING (123.2381779 13.6450319, 123.2396096 13.6450815, 123.2396179 13.6448528)",,,,,,
254707296,254707910,0,23520850,False,,residential,,142.236,,6,"LINESTRING (123.2381779 13.6450319, 123.2372042 13.645022, 123.2371038 13.6449833, 123.2370496 13.6449549, 123.23703 13.6447879)",,,,,,
254707300,254707857,0,23520684,False,,residential,,154.839,,6,"LINESTRING (123.2381866 13.6447861, 123.2396179 13.6448528)",,,,,,
254707300,254707910,0,23520684,False,,residential,,124.979,,6,"LINESTRING (123.2381866 13.6447861, 123.23703 13.6447879)",,,,,,
