osmid,y,x,street_count,highway,ref,geometry
7899994132,14.3467678,120.9373929,4,,,POINT (120.9373929 14.3467678)
7899994133,14.3459655,120.9373522,4,,,POINT (120.9373522 14.3459655)
7899994134,14.345905,120.9373492,4,,,POINT (120.9373492 14.345905)
7899994135,14.3443921,120.9372725,4,,,POINT (120.9372725 14.3443921)
7899994136,14.3440914,120.9372572,4,,,POINT (120.9372572 14.3440914)
7899994138,14.3440584,120.9373027,4,,,POINT (120.9373027 14.3440584)
7899994141,14.3443987,120.937319,3,,,POINT (120.937319 14.3443987)
7899994142,14.3438078,120.9374036,3,,,POINT (120.9374036 14.3438078)
7899994143,14.3438113,120.9373628,4,crossing,,POINT (120.9373628 14.3438113)
7899994144,14.3438178,120.9372912,4,crossing,,POINT (120.9372912 14.3438178)
7899994145,14.343822,120.9372436,3,,,POINT (120.9372436 14.343822)
7902894048,14.3010499,120.9535009,3,,,POINT (120.9535009 14.3010499)
7902894051,14.3010427,120.9534836,3,,,POINT (120.9534836 14.3010427)
7912134426,14.3247908,120.9323489,3,,,POINT (120.9323489 14.3247908)
7912134427,14.3251801,120.9323381,1,,,POINT (120.9323381 14.3251801)
7912134429,14.325118,120.9328473,3,,,POINT (120.9328473 14.325118)
7928138927,14.3417459,120.9421492,1,,,POINT (120.9421492 14.3417459)
7928138928,14.3416822,120.9417306,3,,,POINT (120.9417306 14.3416822)
7928138929,14.3417266,120.9420225,3,,,POINT (120.9420225 14.3417266)
7928138932,14.3414824,120.942364,3,,,POINT (120.942364 14.3414824)
7928138933,14.3422071,120.9422286,3,,,POINT (120.9422286 14.3422071)
7928138934,14.3419408,120.9416745,1,,,POINT (120.9416745 14.3419408)
7928138935,14.3406652,120.9428137,3,,,POINT (120.9428137 14.3406652)
7940869866,14.2854717,120.9873925,3,,,POINT (120.9873925 14.2854717)
7940869868,14.2854251,120.9870285,3,,,POINT (120.9870285 14.2854251)
7940869869,14.2861169,120.9868552,3,,,POINT (120.9868552 14.2861169)
7940869871,14.2861866,120.9872908,3,,,POINT (120.9872908 14.2861866)
7940869874,14.2861623,120.9871444,3,,,POINT (120.9871444 14.2861623)
7940869875,14.285455,120.9872618,3,,,POINT (120.9872618 14.285455)
7940869876,14.2854937,120.9875642,3,,,POINT (120.9875642 14.2854937)
7953992615,14.2840336,120.9598856,3,,,POINT (120.9598856 14.2840336)
7953992616,14.284372,120.9598895,3,,,POINT (120.9598895 14.284372)
7990403929,14.3230373,120.944353,4,,,POINT (120.944353 14.3230373)
7990403930,14.3229721,120.944121,4,,,POINT (120.944121 14.3229721)
7990403936,14.3226052,120.9426149,4,,,POINT (120.9426149 14.3226052)
7990403937,14.3225327,120.9422491,4,,,POINT (120.9422491 14.3225327)
7990403938,14.3224807,120.9419687,4,,,POINT (120.9419687 14.3224807)
7990533246,14.3014188,120.957006,3,,,POINT (120.957006 14.3014188)
