u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,length,geometry,service,bridge,width,access
312974509,3527891688,0,346216014,,,,residential,,False,232.35599999999997,"LINESTRING (120.6288381 16.4692188, 120.6287067 16.4692368, 120.628541 16.4692527, 120.6284062 16.4692574, 120.6283097 16.4692599, 120.6280683 16.4692702, 120.627953 16.4692882, 120.6278309 16.4693178, 120.6275681 16.4694091, 120.6273615 16.4694863, 120.6273079 16.4695133, 120.6272556 16.4695506, 120.6272274 16.4696007, 120.6272073 16.4696509, 120.6271845 16.4697396, 120.6271684 16.4698322, 120.6271564 16.4700509)",,,,
312974509,9110526967,0,843906986,2,204,Halsema Highway,trunk,,False,130.371,"LINESTRING (120.6288381 16.4692188, 120.6289749 16.4693294, 120.6290862 16.4694348, 120.6291747 16.4695377, 120.6292525 16.4696457, 120.6293236 16.4697743, 120.6294322 16.4699557, 120.6294765 16.470011, 120.6295274 16.4700663, 120.6295995 16.4701207)",,,,
384143536,8994967498,0,53844203,2,204,La Trinidad Road,trunk,60,False,55.743,"LINESTRING (120.5948263 16.4401318, 120.5948183 16.4400521, 120.5947942 16.4399698, 120.5947669 16.4398463, 120.594734 16.4397628, 120.5946977 16.4396477)",,,,
384143536,4921540108,0,53844203,2,204,La Trinidad Road,trunk,60,False,83.697,"LINESTRING (120.5948263 16.4401318, 120.5947888 16.4402733, 120.5947512 16.4403531, 120.5947003 16.4404405, 120.5946493 16.4405023, 120.5945688 16.4405537, 120.5943824 16.4407248)",,,,
384143536,1409193684,0,127284766,,,,service,,False,79.28,"LINESTRING (120.5948263 16.4401318, 120.5950369 16.4401511, 120.5950946 16.440164, 120.5951361 16.4401897, 120.5951576 16.4402257, 120.5951536 16.4403454, 120.5951643 16.4405898)",,,,
384143542,2190044863,0,33613610,2,,Strawberry Farm Road,unclassified,,False,97.383,"LINESTRING (120.5886398 16.4585337, 120.5878861 16.4580392)",,,,
384143542,1142052169,0,508446420,4,204,Benguet Provincial National Road,trunk,40,False,16.328,"LINESTRING (120.5886398 16.4585337, 120.5886784 16.4583916)",,,,
384143542,3802951783,0,508446420,4,204,Benguet Provincial National Road,trunk,40,False,55.417,"LINESTRING (120.5886398 16.4585337, 120.588616 16.4586478, 120.5885379 16.4590224)",,,,
384143558,384143565,0,33613610,2,,Strawberry Farm Road,unclassified,,False,123.05300000000001,"LINESTRING (120.5848787 16.4547009, 120.5848194 16.454663, 120.5848012 16.4546305, 120.5848009 16.4545977, 120.5848143 16.4545659, 120.5849102 16.4544238, 120.5850571 16.4541646, 120.5850782 16.4541077, 120.5850846 16.4540582, 120.5850765 16.4540173, 120.5850477 16.4539832, 120.5849738 16.4539306, 120.5848987 16.4538945, 120.5847949 16.4538598)",,,,
384143558,7949725574,0,33613610,2,,Strawberry Farm Road,unclassified,,False,190.99200000000002,"LINESTRING (120.5848787 16.4547009, 120.5851351 16.4548204, 120.5853206 16.4549144, 120.5854024 16.4549697, 120.5854554 16.4550193, 120.5856854 16.4552964, 120.5860716 16.4558225, 120.5861148 16.4558891)",,,,
384143558,3802990203,0,376922062,,,,unclassified,,False,318.063,"LINESTRING (120.5848787 16.4547009, 120.5845682 16.4546252, 120.5842611 16.4545377, 120.5839768 16.4544515, 120.5835878 16.4543345, 120.5832164 16.4542252, 120.5829039 16.4541313, 120.5826115 16.4540464, 120.5820174 16.4538959)",,,,
384143565,8003360157,0,33613610,2,,Strawberry Farm Road,unclassified,,False,179.18800000000002,"LINESTRING (120.5847949 16.4538598, 120.5846667 16.4538331, 120.5837745 16.453685, 120.5836859 16.4536806, 120.5835578 16.4536827, 120.5834798 16.4536787, 120.583437 16.4536741, 120.5833495 16.4536647, 120.5832339 16.4536381, 120.5831402 16.4536084)",,,,
384143565,384143558,0,33613610,2,,Strawberry Farm Road,unclassified,,False,123.05300000000003,"LINESTRING (120.5847949 16.4538598, 120.5848987 16.4538945, 120.5849738 16.4539306, 120.5850477 16.4539832, 120.5850765 16.4540173, 120.5850846 16.4540582, 120.5850782 16.4541077, 120.5850571 16.4541646, 120.5849102 16.4544238, 120.5848143 16.4545659, 120.5848009 16.4545977, 120.5848012 16.4546305, 120.5848194 16.454663, 120.5848787 16.4547009)",,,,
