u,v,key,osmid,highway,oneway,length,geometry,lanes,name,maxspeed,access,service,ref,bridge,width,junction,tunnel
268430733,9116705169,0,24695684,residential,False,235.96499999999997,"LINESTRING (123.3033866 9.325564999999999, 123.3033817 9.324696700000001, 123.3033782 9.324676800000001, 123.3033617 9.3246652, 123.3021798 9.3243297)",,D.B. Catapusan Street,,,,,,,,
268430733,8741568511,0,944156609,residential,False,56.815,"LINESTRING (123.3033866 9.325564999999999, 123.3029891 9.3255675, 123.3029529 9.3255648, 123.3029328 9.325559500000001, 123.3028784 9.3255278)",,,,,,,,,,
268430752,582448186,0,578695693,primary,False,14.255,"LINESTRING (123.3122785 9.313727999999999, 123.3122312 9.3138474)",,,20,,,,,,,
268430789,3479111283,0,290356999,secondary,False,12.122,"LINESTRING (123.28612 9.309784199999999, 123.2862289 9.3097659)",2,Palinpinon Road,,,,,,,,
268430789,8431097296,0,290356999,secondary,False,173.349,"LINESTRING (123.28612 9.309784199999999, 123.2845534 9.3099851)",2,Palinpinon Road,,,,,,,,
268430789,1805898047,0,934644237,residential,False,35.272999999999996,"LINESTRING (123.28612 9.309784199999999, 123.2860181 9.3097183, 123.2859617 9.309654800000001, 123.2859007 9.309559699999999)",,,,,,,,,,
268430848,8661879481,0,24695621,primary,False,9.489,"LINESTRING (123.3072912 9.316145300000001, 123.3072888 9.31606)",2,Hibbard Avenue,40,,,715,,,,
268430848,3712984804,0,24695621,primary,False,48.597,"LINESTRING (123.3072912 9.316145300000001, 123.3072712 9.316581899999999)",2,Hibbard Avenue,40,,,715,,,,
268430848,268431916,0,84893838,tertiary,False,302.846,"LINESTRING (123.3072912 9.316145300000001, 123.3070809 9.316292000000001, 123.3064953 9.3166124, 123.3058042 9.3168916, 123.3052093 9.317063599999999, 123.3047509 9.317147200000001)",,Aldecoa Drive,,,,,,,,
268430848,8661919878,0,290512286,tertiary,False,142.819,"LINESTRING (123.3072912 9.316145300000001, 123.3073966 9.316131499999999, 123.3078407 9.316163400000001, 123.3079646 9.3161456, 123.3080588 9.3161206, 123.308171 9.316060200000001, 123.3082578 9.3159633, 123.3083868 9.315731100000001)",2,Don Carlos A Gothong Sr. Avenue,,,,,,,,
268430885,8660910207,0,42977621,tertiary,False,35.166,"LINESTRING (123.2981626 9.3129743, 123.2982578 9.312882200000001, 123.298365 9.312730800000001)",2,San Jose Extension,,,,,,,,
268430885,8741560405,0,285163180,tertiary,False,79.52,"LINESTRING (123.2981626 9.3129743, 123.2979767 9.3130472, 123.2978949 9.3130547, 123.2974524 9.313055)",2,San Jose Steet,,,,,,,,
268430885,268433691,0,285163181,tertiary,False,41.045,"LINESTRING (123.2981626 9.3129743, 123.2982148 9.3130959, 123.2982422 9.313185499999999, 123.2982599 9.313327900000001)",,San Jose,,,,,,,,
268430913,2895031138,0,42977625,residential,False,43.719,"LINESTRING (123.3035801 9.3099039, 123.3035402 9.309512700000001)",,Manuel L. Teves,,,,,,,,
268430913,268435187,0,42977625,residential,False,90.098,"LINESTRING (123.3035801 9.3099039, 123.3036182 9.3107133)",,Manuel L. Teves,,,,,,,,
268430913,268433058,0,181769616,residential,False,48.991,"LINESTRING (123.3035801 9.3099039, 123.3031363 9.309855799999999)",2,Silliman Avenue Extension,,,,,,,,
268430913,538284894,0,181769616,residential,False,121.178,"LINESTRING (123.3035801 9.3099039, 123.3046781 9.310020400000001)",2,Silliman Avenue Extension,,,,,,,,
268430990,268432464,0,287496479,tertiary,False,102.982,"LINESTRING (123.3065148 9.3081122, 123.3055765 9.3081312)",2,San Jose,,,,,,,,
268430990,268429217,0,287496480,tertiary,False,138.526,"LINESTRING (123.3065148 9.3081122, 123.3063452 9.309346700000001)",2,Maria Christina,,,,,,,,
268430990,268433602,0,287496481,tertiary,True,122.613,"LINESTRING (123.3065148 9.3081122, 123.3076321 9.3081265)",2,San Jose,,,,,,,,
268430990,268434494,0,809915022,tertiary,True,134.937,"LINESTRING (123.3065148 9.3081122, 123.3066725 9.306908699999999)",2,Maria Christina,,,,,,,,
268430998,6639165887,0,24695678,tertiary,False,11.725,"LINESTRING (123.3075489 9.300531100000001, 123.3075963 9.300436599999999)",2,Canday-ong Road,,,,,,,,
268430998,1795617622,0,109375298,primary,False,148.489,"LINESTRING (123.3075489 9.300531100000001, 123.3074657 9.3004753, 123.3073651 9.300419, 123.3072533 9.3003669, 123.3069648 9.3002463, 123.3065912 9.3001126, 123.3063075 9.300008800000001)",2,Governor Perdices Street,,,,7,,,,
268430998,268434116,0,109375298,primary,False,82.676,"LINESTRING (123.3075489 9.300531100000001, 123.3075978 9.3005719, 123.3076459 9.3006198, 123.3077064 9.3006996, 123.307754 9.300779, 123.3077995 9.300873299999999, 123.3078325 9.300961600000001, 123.30786 9.3010728, 123.3078772 9.301179400000001)",2,Governor Perdices Street,,,,7,,,,
